Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,172,6,Some Random Commen with Id 0
1,0,4,185,6,Some Random Commen with Id 1
2,1,3,156,0,Some Random Commen with Id 2
3,1,3,171,9,Some Random Commen with Id 3
4,1,3,55,0,Some Random Commen with Id 4
5,1,3,145,8,Some Random Commen with Id 5
6,2,1,66,1,Some Random Commen with Id 6
7,2,1,38,5,Some Random Commen with Id 7
8,2,1,9,4,Some Random Commen with Id 8
9,2,1,180,1,Some Random Commen with Id 9
10,3,6,40,4,Some Random Commen with Id 10
11,3,6,3,5,Some Random Commen with Id 11
12,3,6,79,3,Some Random Commen with Id 12
13,3,6,13,3,Some Random Commen with Id 13
14,3,6,81,1,Some Random Commen with Id 14
15,3,6,118,9,Some Random Commen with Id 15
16,3,6,183,4,Some Random Commen with Id 16
17,3,6,110,3,Some Random Commen with Id 17
18,3,6,125,4,Some Random Commen with Id 18
19,5,1,182,6,Some Random Commen with Id 19
20,5,1,93,1,Some Random Commen with Id 20
21,5,1,195,4,Some Random Commen with Id 21
22,5,1,122,9,Some Random Commen with Id 22
23,5,1,90,0,Some Random Commen with Id 23
24,6,2,50,2,Some Random Commen with Id 24
25,6,2,73,3,Some Random Commen with Id 25
26,6,2,5,2,Some Random Commen with Id 26
27,6,2,144,1,Some Random Commen with Id 27
28,7,3,106,2,Some Random Commen with Id 28
29,7,3,160,0,Some Random Commen with Id 29
30,7,3,100,8,Some Random Commen with Id 30
31,8,1,198,1,Some Random Commen with Id 31
32,9,9,86,4,Some Random Commen with Id 32
33,9,9,131,7,Some Random Commen with Id 33
34,9,9,188,4,Some Random Commen with Id 34
35,9,9,9,5,Some Random Commen with Id 35
36,9,9,55,4,Some Random Commen with Id 36
37,9,9,48,9,Some Random Commen with Id 37
38,9,9,118,9,Some Random Commen with Id 38
39,9,9,112,0,Some Random Commen with Id 39
40,10,2,23,5,Some Random Commen with Id 40
41,10,2,130,2,Some Random Commen with Id 41
42,10,2,70,4,Some Random Commen with Id 42
43,10,2,128,3,Some Random Commen with Id 43
44,12,7,28,5,Some Random Commen with Id 44
45,12,7,165,5,Some Random Commen with Id 45
46,12,7,35,7,Some Random Commen with Id 46
47,14,3,148,0,Some Random Commen with Id 47
48,14,3,136,8,Some Random Commen with Id 48
49,14,3,91,9,Some Random Commen with Id 49
50,15,9,143,7,Some Random Commen with Id 50
51,16,2,195,6,Some Random Commen with Id 51
